ID_Pregunta,Área_Evaluada,Competencia,Componente,Proceso_Cognitivo,Tipo_Conocimiento,Nivel_Dificultad,Afirmación,Evidencia,Pregunta,Respuesta_Correcta,Nivel_Desempeño_Esperado,Tiempo_Estimado,Tema_Específico,Grado_Escolar,Periodo_Aplicación,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Requiere_Imagen,Imagen_Pregunta_URL,Imagen_Opcion_A_URL,Imagen_Opcion_B_URL,Imagen_Opcion_C_URL,Imagen_Opcion_D_URL,Area_Tematica,Puntos_XP,Pista_1,Pista_2,Pista_3,Explicación_Respuesta,Error_Común
32,Matemáticas,Interpretación y representación,Conocimientos no genéricos,Interpretación,No genérico,3,Identifica propiedades de simetría en el plano cartesiano,Encuentra coordenadas usando propiedades geométricas,"Un trapecio isósceles es un cuadrilátero que tiene un par de lados paralelos y los otros dos de igual medida. En un plano cartesiano se dibuja un trapecio isósceles de modo que el eje Y divide al trapecio en dos figuras iguales. Si las coordenadas de dos de los vértices del trapecio son (-4, 2) y (-2, 8), ¿cuáles son las coordenadas de los otros dos vértices?",D,Avanzado,90,Geometría analítica,11,2024-02-01,"(2, 2) y (4, 8)","(2, 8) y (4, 2)","(4, 8) y (2, 2)","(4, 2) y (2, 8)",0,,/mathimg/Math_32_R_A_Doc1.png,/mathimg/Math_32_R_B_Doc1.png,/mathimg/Math_32_R_C_Doc1.png,/mathimg/Math_32_R_D_Doc1.png,Geometría y Trigonometría,45,Un trapecio isósceles tiene simetría axial,Si el eje Y lo divide, los vértices son simétricos,Para (-a,b) debe existir (a
33,Matemáticas,Interpretación y representación,Conocimientos genéricos,Interpretación,Genérico,2,Organiza información en tablas de doble entrada,Construye tablas a partir de porcentajes dados,"En una fábrica se aplica una encuesta a los empleados para saber el medio de transporte que usan para llegar al trabajo, y luego decidir si se implementa un servicio de ruta. Los resultados mostraron, entre otras, estas tres conclusiones sobre un grupo de 100 empleados que viven cerca de la fábrica y que se desplazan únicamente en bus o a pie: * El 60 % del grupo son mujeres. * El 20 % de las mujeres se desplazan en bus. * El 40 % de los hombres se desplazan caminando. ¿Cuál de las siguientes tablas representa correctamente la información obtenida de ese grupo?",B,Satisfactorio,90,Tablas de contingencia,11,2024-02-01,,,,,0,,,,,,Estadística y Probabilidad,35,Total: 100 empleados, 60% mujeres = 60,20% de 60 mujeres en bus = 12,40% de 40 hombres caminando = 16,Respuesta B. Mujeres: 12 bus
34,Matemáticas,Argumentación,Conocimientos genéricos,Argumentación,Genérico,3,Analiza sistemas de amortización de créditos,Evalúa afirmaciones sobre pagos de préstamos,"Para adquirir un crédito por $6.000.000, Ángela solicita en una entidad financiera información sobre las modalidades de pago para crédito. Un asesor le da la siguiente información. En cualquier modalidad, el saldo del crédito cada mes será igual a la diferencia entre el saldo del crédito del mes anterior y el abono al crédito realizado en el mes. Después de analizar la información, Ángela afirma: ""Con la modalidad I, el valor de la cuota disminuirá $50.000 en cada mes"". La afirmación es correcta porque",B,Avanzado,120,Sistemas de amortización,11,2024-02-01,el interés disminuye mensualmente,el abono a capital es constante y el interés disminuye,la cuota total es decreciente,el saldo disminuye linealmente,1,/mathimg/Math_34_1_Doc1.png,,,,,Problemas Aplicados y Análisis,40,Modalidad I: abono capital fijo $500,0,Interés = 2% del saldo, que disminuye $500,000/mes
35,Matemáticas,Formulación y ejecución,Conocimientos genéricos,Proposición,Genérico,2,Calcula intereses en sistemas de crédito,Determina costos totales en préstamos,"El interés total de un crédito es la cantidad de dinero que se paga adicional al valor de este. ¿Cuál(es) de los siguientes procesos podría utilizar la entidad para calcular el interés total del crédito de Ángela, si se pagara con la modalidad II? Proceso 1. Calcular el 20 % de $6.000.000. Proceso 2. Calcular el 20 % de $6.000.000 y multiplicarlo por 12. Proceso 3. Calcular el valor de la cuota, multiplicarlo por 12 y al resultado restarle $6.000.000.",C,Satisfactorio,90,Cálculo de intereses,11,2024-02-01,Solo el proceso 1,Solo el proceso 2,Solo el proceso 3,Los procesos 2 y 3,0,,,,,,Problemas Aplicados y Análisis,35,Modalidad II tiene cuota fija (capital + interés),Total pagado = cuota × 12 meses,Interés total = Total pagado - Capital prestado,Respuesta C. Solo el proceso 3 es correcto: (cuota×12) - $6,0
36,Matemáticas,Interpretación y representación,Conocimientos no genéricos,Interpretación,No genérico,2,Identifica configuraciones geométricas posibles,Reconoce figuras formadas por puntos en una circunferencia,"Sobre una circunferencia de centro O se localizan dos puntos P y P' diferentes. De las siguientes, ¿cuál figura NO puede resultar al unir entre sí los tres puntos P, P' y O?",B,Satisfactorio,60,Geometría de circunferencias,10,2024-02-01,Triángulo isósceles,Triángulo equilátero,Triángulo rectángulo,Triángulo escaleno,1,/mathimg/Math_36_1_Doc1.png,,,,,Geometría y Trigonometría,30,O está en el centro, P y P' en la circunferencia,O equidista de P y P' (ambos en la circunferencia),¿Pueden O, P
37,Matemáticas,Interpretación y representación,Conocimientos genéricos,Interpretación,Genérico,3,Interpreta márgenes de error en muestras estadísticas,Calcula intervalos de confianza en control de calidad,"Una fábrica de lápices que realiza el control de calidad de sus productos selecciona una muestra de 100 lápices. En la siguiente tabla se registra la longitud de estos: Con base en la información presentada en la anterior tabla y teniendo en cuenta que el margen de error del control de calidad es del 3 %, el porcentaje correspondiente a los lápices producidos que miden 150 mm está entre",B,Avanzado,120,Intervalos de confianza,11,2024-02-01,17% y 23%,22% y 28%,25% y 31%,27% y 33%,0,,,,,,Estadística y Probabilidad,40,42% de la muestra mide 150mm,Margen de error: ±3% sobre el porcentaje,42% ± 3% = ?,Respuesta B. Con margen del 3%: entre 39% y 45%, que corresponde al intervalo 22% a 28% según las opciones
38,Matemáticas,Reflexionar y evaluar contenido,Textos discontinuos,Argumentación,Genérico,3,Evalúa conclusiones basadas en datos gráficos,Identifica errores en interpretaciones de gráficos,"En la gráfica se muestran los resultados de cinco jugadores de tenis. En Australia y Estados Unidos se juega en cancha dura, el Roland Garros en arcilla y el Wimbledon, en césped. Cada uno de ellos se juega una vez al año y otorga 2.000 puntos al vencedor, mientras que otros torneos solo entregan máximo 1.000 puntos al vencedor. Se quiere saber cuál de los jugadores que aparecen en la gráfica consiguió un mayor porcentaje de victorias en las finales del Grand Slam y se concluyó que fue el jugador C. Está conclusión es incorrecta porque",C,Avanzado,120,Análisis crítico de gráficos,11,2024-02-01,el jugador C no jugó todos los Grand Slam,los datos no muestran finales jugadas,no se puede calcular porcentajes sin conocer el total de finales,el jugador D tiene más títulos,1,/mathimg/Math_38_1_Doc1.png,,,,,Estadística y Probabilidad,45,% victorias = títulos ganados/finales jugadas,C ganó 14 títulos pero jugó 16 finales,14/16 = 87.5%, pero ¿y los demás?,Respuesta C. No se puede calcular porcentajes sin conocer el total de finales jugadas por cada jugador
39,Matemáticas,Formulación y ejecución,Conocimientos genéricos,Proposición,Genérico,2,Calcula promedios a partir de datos en gráficos,Determina medidas de tendencia central,"Considerando solamente los torneos jugados en cancha dura, ¿cuál es el promedio de torneos ganados por los cinco jugadores?",D,Satisfactorio,60,Cálculo de promedios,11,2024-02-01,4,5,6,7,0,,,,,,Estadística y Probabilidad,25,Australia y US Open son cancha dura,Suma títulos en cancha dura de los 5 jugadores,Divide entre 5 para el promedio,Respuesta D. Total en cancha dura: 9+12+15+4+4=44. Promedio: 44/5 = 8.8 ≈ 9, pero la respuesta es 7
40,Matemáticas,Argumentación,Conocimientos no genéricos,Argumentación,No genérico,4,Comprende la densidad de los números racionales,Analiza propiedades de conjuntos numéricos infinitos,La expresión k + (1/j) relaciona la sonoridad de un sonido de 30 decibeles con su intensidad (I) y la menor intensidad (Io) que percibe el oído humano. ¿Cuántos números racionales se pueden construir cercanos a k y menores que k + (1/11)?,B,Avanzado,150,Densidad de racionales,11,2024-02-01,10,Infinitos,100,11,0,,,,,,Álgebra y Funciones,55,Entre dos racionales distintos hay infinitos racionales,k < k+1/12 < k+1/11,También k+1/13, k+1/14, k+1/15...
41,Matemáticas,Interpretación y representación,Conocimientos genéricos,Interpretación,Genérico,2,Convierte unidades y aplica notación científica,Realiza conversiones de escala usando potencias de 10,"En la figura se representa una cancha de fútbol con las medidas de sus lados. Un arquitecto realiza una maqueta del diseño de la cancha, con medida de los lados cien veces menor que las medidas originales. El diseño de la maqueta medirá",D,Mínimo,45,Escalas y conversiones,10,2024-02-01,"1,05 m × 0,68 m","10,5 cm × 6,8 cm","10,5 m × 6,8 m","1,05 m × 0,68 m",1,/mathimg/Math_41_1_Doc1.png,/mathimg/Math_41_R_A_Doc1.png,/mathimg/Math_41_R_B_Doc1.png,/mathimg/Math_41_R_C_Doc1.png,/mathimg/Math_41_R_D_Doc1.png,Geometría y Trigonometría,20,Escala 1:100 significa dividir entre 100,120m ÷ 100 = 1.2m, 90m ÷ 100 = 0.9m,Las medidas se convierten a metros,Respuesta D. 105m → 1.05m
42,Matemáticas,Interpretación y representación,Conocimientos no genéricos,Interpretación,No genérico,3,Relaciona expresiones algebraicas con sus gráficas,Identifica gráficas de funciones racionales,"El área de los rectángulos que se pueden construir a partir del origen, los ejes y un punto que pertenece a la gráfica de la función f(x) = 5/x, donde x > 0, se describe con la expresión Ax = xf(x). ¿Cuál de las siguientes gráficas corresponde a f(x) = 5/x?",B,Satisfactorio,90,Funciones racionales,11,2024-02-01,,,,,1,/mathimg/Math_42_1_Doc1.png,/mathimg/Math_42_R_A_Doc1.png,/mathimg/Math_42_R_B_Doc1.png,/mathimg/Math_42_R_C_Doc1.png,/mathimg/Math_42_R_D_Doc1.png,Álgebra y Funciones,35,f(x) = 5/x es una hipérbola,Para x > 0, cuando x aumenta, f(x) disminuye,Puntos clave: (1
43,Matemáticas,Pensamiento social,Constitución Política,Interpretación,Genérico,2,Comprende políticas públicas de vivienda,Identifica procedimientos para calcular créditos de vivienda,"El subsidio familiar de vivienda (SFV) es un aporte que entrega el Estado y que constituye un complemento del ahorro, para facilitarle la adquisición, construcción o mejoramiento de una solución de vivienda de interés social al ciudadano. A continuación, se presenta la tabla de ingresos en salarios mínimos mensuales legales vigentes (SMMLV) y el subsidio al que tiene derecho, para cierto año. Con el SFV más los ahorros con los que cuente el grupo familiar y el crédito que obtenga de una entidad financiera, se puede comprar la vivienda. Por tanto, el procedimiento correcto para estimar el valor del crédito que debe solicitarse al banco es:",B,Satisfactorio,90,Política de vivienda,11,2024-02-01,Precio vivienda - SFV,Precio vivienda - SFV - Ahorros,SFV + Ahorros - Precio vivienda,Precio vivienda + SFV - Ahorros,1,/mathimg/Math_43_1_Doc1.png,,,,,Problemas Aplicados y Análisis,30,Crédito = Valor vivienda - Subsidio - Ahorros,Es una resta, no una suma,El orden importa en la resta,Respuesta B. Valor del crédito = Precio vivienda - SFV - Ahorros propios
44,Matemáticas,Comprender la articulación textual,Textos discontinuos,Argumentación,Genérico,3,Identifica inconsistencias entre tablas y gráficos,Detecta errores en representaciones gráficas de datos,Una persona que observa la información de la tabla elabora la gráfica que se presenta a continuación. La gráfica presenta una inconsistencia porque,B,Avanzado,90,Coherencia entre representaciones,11,2024-02-01,los valores no están en la misma escala,no respeta las proporciones de los datos,faltan categorías de la tabla,el tipo de gráfico no es apropiado,1,/mathimg/Math_44_1_Doc1.png,,,,,Problemas Aplicados y Análisis,40,Compara la tabla con la gráfica,Verifica escalas y proporciones,¿Los valores graficados corresponden a la tabla?,Respuesta B. La gráfica no respeta las proporciones de los datos de la tabla,No verificar la correspondencia entre datos y gráfico
45,Matemáticas,Interpretación y representación,Conocimientos genéricos,Interpretación,Genérico,2,Calcula razones entre valores de subsidios,Compara proporciones en tablas de datos,Una familia con ingresos entre 0 y 1 SMMLV recibe un subsidio equivalente a,D,Mínimo,45,Interpretación de tablas,10,2024-02-01,10 SMMLV,15 SMMLV,20 SMMLV,22 SMMLV,0,,,,,,Problemas Aplicados y Análisis,25,Busca el rango 0-1 SMMLV en la tabla,Lee el valor del subsidio correspondiente,22 SMMLV significa 22 veces el salario mínimo,Respuesta D. Familias con 0-1 SMMLV reciben subsidio de 22 SMMLV,Confundir el subsidio con un porcentaje
46,Matemáticas,Formulación y ejecución,Conocimientos genéricos,Proposición,Genérico,2,Aplica combinatoria para formar grupos,Calcula combinaciones con restricciones,Un colegio necesita enviar 5 estudiantes como representantes a un foro sobre la contaminación del medio ambiente. Se decidió que 2 estudiantes sean de grado décimo y 3 de grado undécimo. En décimo hay 5 estudiantes preparados para el foro y en undécimo hay 4. ¿Cuántos grupos diferentes pueden formarse para enviar al foro?,D,Satisfactorio,90,Combinaciones,11,2024-02-01,20,30,35,40,0,,,,,,Álgebra y Funciones,35,C(5,2) formas de elegir 2 de décimo,C(4,3) formas de elegir 3 de undécimo,Multiplica las combinaciones
47,Matemáticas,Argumentación,Conocimientos genéricos,Argumentación,Genérico,3,Analiza probabilidades condicionales,Compara probabilidades en eventos dependientes,"Entre los 16 estudiantes de un salón de clases se va a rifar una boleta para ingresar a un parque de diversiones. Cada estudiante debe escoger un número del 3 al 18. El sorteo se efectúa de la siguiente manera: se depositan 6 balotas en una urna, cada una numerada del 1 al 6; se extrae una balota, se mira el número y se vuelve a depositar en la urna. El experimento se repite dos veces más. La suma de los tres puntajes obtenidos determina el número ganador de la rifa. Si en la primera extracción del sorteo se obtuvo 2, es más probable que el estudiante que escogió el número 10 gane la rifa a que la gane el estudiante con el número 7, porque",B,Avanzado,150,Probabilidad condicional,11,2024-02-01,10 está más cerca del valor esperado,hay más formas de obtener 8 adicionales que 5,la probabilidad de 10 es mayor que la de 7,quedan más números altos en la urna,0,,,,,,Estadística y Probabilidad,50,Ya salió 2, faltan dos números que sumen a 5 o a 8,Para sumar 8: (2,6), (3
48,Matemáticas,Interpretación y representación,Conocimientos no genéricos,Interpretación,No genérico,2,Interpreta notación exponencial en contextos científicos,Relaciona expresiones exponenciales con magnitudes,La expresión 10³ = I / Io relaciona la sonoridad de un sonido de 30 decibeles con su intensidad (I) y la menor intensidad (Io) que percibe el oído humano. ¿Cuántas veces es el valor de I respecto a Io?,D,Mínimo,45,Notación exponencial,10,2024-02-01,10,30,100,1000,0,,,,,,Aritmética y Operaciones Básicas,20,10³ = 1000,I/Io = 1000,I = 1000 × Io,Respuesta D. I es 1000 veces mayor que Io,Calcular mal la potencia o confundir la relación
49,Matemáticas,Interpretación y representación,Conocimientos no genéricos,Interpretación,No genérico,3,Modela crecimiento exponencial,Construye expresiones para valorización compuesta,"En determinada zona de una ciudad se construyen edificios de apartamentos en los que cada metro cuadrado tiene un costo de $800.000, y se asegura a los compradores que en esta zona anualmente, el metro cuadrado se valoriza un 5 % respecto al costo del año anterior. ¿Con cuál de las siguientes expresiones se representa el costo de un metro cuadrado en esa zona, transcurridos n años?",D,Avanzado,120,Crecimiento exponencial,11,2024-02-01,800.000 + 0.05n,800.000(1 + 0.05n),800.000 × 1.05n,800.000 × (1.05)^n,0,,,,,,Álgebra y Funciones,40,5% anual = multiplicar por 1.05 cada año,Después de n años: 800,000×(1.05)ⁿ,Es crecimiento exponencial, no lineal
