ID_Pregunta,Área_Evaluada,Competencia,Componente,Proceso_Cognitivo,Tipo_Conocimiento,Nivel_Dificultad,Afirmación,Evidencia,Pregunta,Respuesta_Correcta,Nivel_Desempeño_Esperado,Tiempo_Estimado,Tema_Específico,Grado_Escolar,Periodo_Aplicación,Opcion_A,Opcion_B,Opcion_C,Opcion_D,Requiere_Imagen,Imagen_Pregunta_URL,Imagen_Opcion_A_URL,Imagen_Opcion_B_URL,Imagen_Opcion_C_URL,Imagen_Opcion_D_URL,Puntos_XP,Pista_1,Pista_2,Pista_3,Explicación_Respuesta,Error_Común,Pregunta_con_contexto,Pregunta_Libro,Orden_En_Contexto,Contexto_Requerido,Imagen_Contexto_Comp,Texto_Contexto_Completo,ID_Contexto_Compartido,Ruta_absoluta_Archivo,Nombre_del_Archivo,Índice_Discriminación,Parámetro_IRT_A,Parámetro_IRT_B,Parámetro_IRT_C,Subtema,Estrategia_Discursiva,Tipo_Razonamiento,Complejidad_Cognitiva,Contexto_Aplicación,Tipo_Texto,Género_Textual,Función_Comunicativa,Pensamiento_Matemático,Disciplina_Predominante,Concepto_Científico,Proceso_Científico,Nivel_Representación,Periodo_Histórico,Ámbito_Análisis,Escala_Espacial,Tipo_Fuente,Nivel_MCER,Parte_Prueba,Competencia_Comunicativa,Habilidad_Específica,Distractor_A_Concepto,Distractor_B_Concepto,Distractor_C_Concepto,Frecuencia_Error_A,Frecuencia_Error_B,Frecuencia_Error_C,Concepto_Refuerzo_1,Concepto_Refuerzo_2,Recurso_Sugerido,Tiempo_Estudio_Estimado,Fecha_Creación,Fecha_Actualización,Versión_Item,Banco_Origen,Fecha_Calibración
275,Ciencias Sociales,Pensamiento social,Historia,Analizar,Conceptual,Avanzado,Buscan reducir tamaño del Estado y su participación en regulación económica,Comprende características del modelo neoliberal,"En el contexto de la crisis económica experimentada por el país a finales de la década de los años 1990, el Gobierno colombiano estableció una serie de acuerdos con el Fondo Monetario Internacional que contemplaban la ejecución de medidas tales como: reforma estructural del sector público; fortalecimiento del sector financiero; reducción del gasto del gobierno central; reforma pensional; protección al libre comercio; extensión del impuesto al valor agregado (IVA); participación del sector privado en servicios de infraestructura; flexibilización laboral; mayores condiciones legales para la inversión extranjera en explotación petrolera y minera y privatización de bancos estatales y empresas públicas del sector energético y de telecomunicaciones. Estas medidas pueden catalogarse como ""neoliberales"", en tanto que",D,Avanzado,3,Políticas neoliberales en Colombia,11°,2018,implican un manejo arbitrario de la dinámica económica del país por el Gobierno nacional.,plantean una mayor presencia del Estado en el sector productivo como agente administrador.,implican la injerencia de instituciones financieras extranjeras en la política económica interna.,buscan reducir el tamaño del Estado y su participación en la regulación de actividades económicas.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Identifica características del neoliberalismo,Comprende reformas estructurales,Analiza políticas de ajuste económico,Neoliberalismo reduce rol estatal en economía,Confundir injerencia externa con reducción estatal,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.73,-1.1,2,-0.8,Políticas_neoliberales,Analítica,Sistémico,Analizar,Económico,No Aplica,Explicar,No Aplica,No Aplica,Ciencias Sociales,Historia_económica,Análisis_políticas,Simbólico,Contemporáneo,Económico,Nacional,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Manejo arbitrario gubernamental,Mayor presencia estatal productiva,Injerencia de instituciones financieras externas,20,25,30,Neoliberalismo,Reformas económicas,Colombia años 1990,25,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
276,Ciencias Sociales,Interpretación y análisis de perspectivas,Historia,Comprender,Conceptual,Avanzado,Con el neoliberalismo porque restringe rol del Estado a protección del mercado,Identifica modelos económicos por sus características,"Considere el siguiente fragmento extraído de un Plan nacional de desarrollo de México: ""La productividad no sólo se incrementa con las grandes reformas estructurales. El proceso de crecimiento del país también se puede y debe impulsar desde los sectores privado, social y desde todos los órdenes de gobierno. En este sentido, esta estrategia plantea que la Administración Pública Federal busque el incremento de la productividad mediante la eliminación de trabas que impiden el funcionamiento adecuado de la economía, promoviendo la creación de empleos, mejorando la regulación y, de manera especial, simplificando la normatividad y trámites gubernamentales"". ¿Con cuál de los siguientes modelos es afín esta propuesta para mejorar la productividad económica?",C,Avanzado,3,Modelos económicos y políticas públicas,11°,2018,"Con el socialismo, porque busca que el Estado tenga un control total de la economía.","Con la monarquía, porque centraliza las decisiones económicas en el jefe de Estado.","Con el neoliberalismo, porque restringe el rol del Estado a la protección del mercado.","Con la democracia, porque invita a todos a tomar parte en las decisiones económicas.",FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Identifica características de modelos económicos,Relaciona políticas con ideologías,Comprende rol del Estado en economía,La propuesta busca reducir interferencia estatal en mercados,Confundir participación sectorial con control estatal,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.74,-1.2,2.1,-0.7,Modelos_económicos,Interpretativa,Lógico_deductivo,Comprender,Económico,No Aplica,Explicar,No Aplica,No Aplica,Ciencias Sociales,Economía_política,Análisis_ideológico,Simbólico,Contemporáneo,Económico,Global,Primaria_documento,No Aplica,No Aplica,No Aplica,No Aplica,Control estatal total socialista,Centralización monárquica de decisiones,Participación democrática generalizada,25,20,30,Neoliberalismo,Modelos económicos,Estado y mercado,22,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
277,Ciencias Sociales,Interpretación y análisis de perspectivas,Historia,Analizar,Conceptual,Satisfactorio,Sin intervención estatal no es posible garantizar buenas condiciones,Analiza críticas al modelo neoliberal,"En el Plan Nacional de Desarrollo de Colombia de la década de los años 1990, se afirma lo siguiente: ""La eficiencia no puede ser antagónica con la equidad. Por tanto, en las determinaciones públicas primarán siempre consideraciones para que el juego del mercado no comprometa la equidad ni restrinja el acceso y la participación equitativa de los más pobres"". En este fragmento se adopta una postura crítica frente al modelo neoliberal, porque",C,Satisfactorio,3,Críticas al neoliberalismo y equidad,11°,2018,se reconoce el papel central del Estado en la buena gestión y administración de los recursos públicos.,se define el mercado como el principal mecanismo para distribuir eficientemente los beneficios del crecimiento económico.,"se afirma que, sin la intervención del Estado, no es posible garantizarle buenas condiciones de vida a toda la población.",se señala implícitamente que la privatización de las empresas del Estado es un mecanismo eficiente para garantizar la equidad.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Identifica críticas al neoliberalismo,Comprende tensión eficiencia-equidad,Analiza necesidad de intervención estatal,El mercado libre no garantiza automáticamente equidad,Confundir gestión con intervención redistributiva,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.69,-0.8,1.8,-1,Críticas_neoliberalismo,Crítica,Lógico_deductivo,Analizar,Económico,No Aplica,Argumentar,No Aplica,No Aplica,Ciencias Sociales,Economía_política,Análisis_crítico,Simbólico,Contemporáneo,Económico,Nacional,Primaria_documento,No Aplica,No Aplica,No Aplica,No Aplica,Gestión administrativa sin intervención,Confianza en distribución automática del mercado,Privatización como mecanismo de equidad,30,25,20,Estado y mercado,Equidad social,Crítica al neoliberalismo,20,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
278,Ciencias Sociales,Interpretación y análisis de perspectivas,Historia,Aplicar,Conceptual,Satisfactorio,Cuando importa alimentos que se producen en su territorio,Identifica condiciones para aplicar proteccionismo económico,"Lea detenidamente la siguiente definición de proteccionismo económico: ""Se puede definir el proteccionismo como el uso de varios mecanismos con el objetivo principal de proteger a las empresas nacionales de la competencia extranjera. El mecanismo más utilizado es el de aplicar un alto nivel de impuestos a la entrada de productos hechos en otros países (estos impuestos se denominan aranceles). (...) Los aranceles son una barrera ya que son costos que tienen que pagar las empresas al comerciar entre países. Estos costos aumentan el precio del producto y, por lo tanto, dificultan su venta"" Teniendo en cuenta el fragmento anterior, ¿en cuál de las siguientes condiciones se justificaría el uso del modelo proteccionista en un país?",C,Satisfactorio,3,Proteccionismo económico y justificación,11°,2018,Cuando se fabrica tecnología de punta para optimizar la producción de alimentos.,Cuando tiene suelos desérticos que impiden la producción de alimentos.,Cuando importa un buen número de alimentos que se producen en su territorio.,Cuando exporta más alimentos de los que compra en los mercados extranjeros.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Comprende lógica del proteccionismo,Identifica condiciones para protección industrial,Analiza competencia nacional vs extranjera,Proteger producción nacional existente de competencia externa,Confundir ventajas comparativas con protección,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.67,-0.9,1.7,-1.1,Proteccionismo_económico,Aplicativa,Lógico_deductivo,Aplicar,Económico,No Aplica,Aplicar,No Aplica,No Aplica,Ciencias Sociales,Economía_internacional,Análisis_políticas,Simbólico,Contemporáneo,Económico,Global,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Producción tecnológica avanzada,Imposibilidad de producción nacional,Superávit comercial en alimentos,25,30,20,Comercio internacional,Proteccionismo,Políticas comerciales,18,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
279,Ciencias Sociales,Pensamiento reflexivo y sistémico,Historia,Comprender,Conceptual,Satisfactorio,Pone en evidencia intereses económicos de actores en conflicto,Comprende características del conflicto armado a través del desplazamiento,"El Centro Nacional de Memoria Histórica de Colombia define el desplazamiento forzado como un fenómeno masivo, sistemático, de larga duración y vinculado, en gran medida, a las disputas entre actores armados por el control de territorios estratégicos. Según esta definición, ¿por qué el desplazamiento forzado permite comprender características propias del conflicto armado en Colombia?",B,Satisfactorio,3,Desplazamiento forzado y conflicto armado,11°,2018,Porque el desplazamiento forzado es un fenómeno social de larga duración que solo se presenta en Colombia.,"Porque el desplazamiento forzado pone en evidencia, indirectamente, los intereses económicos de los actores en conflicto.",Porque el desplazamiento forzado permite determinar el efecto directo del conflicto armado sobre la población urbana.,Porque el desplazamiento forzado permite identificar zonas históricamente controladas por un único actor armado.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Relaciona desplazamiento con intereses territoriales,Comprende dimensión económica del conflicto,Analiza disputas por control territorial,Disputas por territorios estratégicos revelan intereses económicos,Reducir a características demográficas o geográficas,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.7,-1,1.9,-0.9,Desplazamiento_forzado,Analítica,Sistémico,Comprender,Social,No Aplica,Explicar,No Aplica,No Aplica,Ciencias Sociales,Historia_contemporánea,Análisis_conflictos,Macroscópico,Contemporáneo,Social,Nacional,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Excepcionalidad colombiana del fenómeno,Efectos específicos en población urbana,Control territorial por actor único,25,30,20,Conflicto armado,Desplazamiento forzado,Memoria histórica,22,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
280,Ciencias Sociales,Pensamiento social,Historia,Recordar,Factual,Satisfactorio,"Revolución mexicana, rusa, cubana, nicaragüense",Conoce cronología de revoluciones sociales,"Las revoluciones sociales son transformaciones rápidas y fundamentales de la situación de una sociedad y de sus estructuras de clase; se acompañan de las revueltas y se basan en dos coincidencias: cambio estructural por levantamiento de clases y posibilidad de transformación política y social. Entre las revoluciones más sobresalientes están: la Revolución mexicana, la Revolución cubana, la Revolución nicaragüense (sandinista) y la Revolución rusa. El orden cronológico (más antiguo al más reciente) de las revoluciones enunciadas es",B,Satisfactorio,3,Revoluciones sociales del siglo XX,11°,2018,"Revolución nicaragüense, Revolución rusa, Revolución mexicana, Revolución cubana.","Revolución mexicana, Revolución rusa, Revolución cubana, Revolución nicaragüense.","Revolución rusa, Revolución cubana, Revolución mexicana, Revolución nicaragüense.","Revolución cubana, Revolución rusa, Revolución mexicana, Revolución nicaragüense.",FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Ordena cronológicamente revoluciones,Conoce fechas de transformaciones sociales,Comprende procesos revolucionarios del siglo XX,"Mexicana (1910), Rusa (1917), Cubana (1959), Nicaragüense (1979)",Confundir cronología de eventos revolucionarios,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.66,-0.8,1.7,-1.1,Revoluciones_sociales,Factual,Memorización,Recordar,Político,No Aplica,Informar,No Aplica,No Aplica,Ciencias Sociales,Historia_mundial,Conocimiento_cronológico,Simbólico,Siglo_XX,Político,Global,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Secuencias cronológicas incorrectas,Ordenamiento temporal erróneo,Inversión completa de fechas,20,25,30,Revoluciones,Historia mundial,Siglo XX,15,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
281,Ciencias Sociales,Pensamiento reflexivo y sistémico,Historia,Analizar,Conceptual,Satisfactorio,Pertenencia a partidos contrarios y distribución desigual de tierra,Identifica causas del conflicto agrario,Lea la siguiente lista de problemas: 1. Escasez de recursos naturales no renovables. 2. Pertenencia a partidos políticos contrarios. 3. Crecimiento demográfico de la población rural. 4. Distribución desigual de la propiedad de la tierra. ¿Cuáles de esos problemas son causas del conflicto agrario en Colombia?,C,Satisfactorio,3,Conflicto agrario en Colombia,11°,2018,1 y 3.,1 y 4.,2 y 4.,1 y 2.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Identifica causas del conflicto agrario,Comprende dimensiones del conflicto rural,Relaciona violencia política con tenencia de tierra,Conflicto bipartidista y concentración de tierra generan violencia rural,Confundir causas demográficas con políticas,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.68,-0.9,1.8,-1,Conflicto_agrario,Analítica,Sistémico,Analizar,Social,No Aplica,Explicar,No Aplica,No Aplica,Ciencias Sociales,Historia_rural,Análisis_conflictos,Macroscópico,Siglo_XX,Social,Nacional,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Factores de recursos naturales y demográficos,Recursos naturales y distribución de tierra,Recursos naturales y política partidista,30,25,20,Conflicto agrario,Historia rural,Colombia siglo XX,20,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
282,Ciencias Sociales,Pensamiento social,Constitución_política_democracia,Comprender,Conceptual,Satisfactorio,Se vulnera derecho a la salud porque está en riesgo la vida,Comprende condiciones para presentar tutela,"La acción de tutela es un mecanismo que busca la protección inmediata de los derechos fundamentales de los ciudadanos. Por tanto, esta se puede presentar ante un juez cuando",A,Satisfactorio,3,Acción de tutela y derechos fundamentales,11°,2018,"se vulnera el derecho a la salud, porque está en riesgo la vida de la persona.","alguien es expulsado de una agremiación, a pesar de estar al día en sus pagos.",se busca proteger un derecho colectivo de constituir juntas de acción comunal.,se legisla sobre el derecho a la vida y el acceso a un trabajo digno para las personas.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Comprende alcance de la tutela,Identifica conexidad con derechos fundamentales,Distingue derechos fundamentales de otros,Tutela procede cuando derechos no fundamentales afectan fundamentales,Confundir derechos colectivos con fundamentales,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.69,-0.8,1.8,-1,Acción_tutela,Analítica,Lógico_deductivo,Comprender,Político,No Aplica,Explicar,No Aplica,No Aplica,Ciencias Sociales,Constitución_política,Análisis_procedimientos,Simbólico,Contemporáneo,Político,Nacional,Primaria_documento,No Aplica,No Aplica,No Aplica,No Aplica,Conflictos de membresía organizacional,Protección de derechos colectivos,Funciones legislativas sobre derechos,25,30,20,Acción de tutela,Derechos fundamentales,Mecanismos de protección,18,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
283,Ciencias Sociales,Pensamiento social,Geografía,Comprender,Conceptual,Satisfactorio,Búsqueda de mejor calidad de vida en barrios tranquilos,Comprende fenómenos de migración urbana,"En las principales ciudades del mundo moderno está produciéndose un paulatino abandono de las zonas residenciales del centro urbano, al tiempo que las zonas periféricas tienden a un mayor poblamiento. Estas migraciones las realizan personas o familias que tienen ingresos medios y altos. La principal causa de este fenómeno se atribuye",B,Satisfactorio,3,Migración urbana y calidad de vida,11°,2018,al creciente desarrollo de la industria en el centro de las ciudades.,a la búsqueda de mejor calidad de vida en barrios tranquilos.,a la escasa oferta de servicios en los barrios del centro de la ciudad.,a la creciente oferta de vivienda barata en las afueras de la ciudad.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Identifica motivaciones de migración urbana,Comprende suburbanización,Analiza preferencias residenciales de clases medias,Búsqueda de tranquilidad y mejor ambiente motiva migración,Reducir a factores económicos o industriales,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.67,-0.9,1.7,-1.1,Migración_urbana,Explicativa,Lógico_deductivo,Comprender,Social,No Aplica,Explicar,No Aplica,No Aplica,Ciencias Sociales,Geografía_urbana,Análisis_patrones,Macroscópico,Contemporáneo,Social,Global,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Desarrollo industrial centralizado,Deficiencia de servicios urbanos centrales,Oferta de vivienda económica periférica,30,25,20,Geografía urbana,Suburbanización,Migración intraurbana,18,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
284,Ciencias Sociales,Pensamiento reflexivo y sistémico,Competencias_ciudadanas,Comprender,Conceptual,Satisfactorio,Promulgan derechos y denuncian exclusión,Comprende importancia de movilización por derechos,"En Colombia, la discriminación de personas con orientación sexual diferente a la heterosexual, es decir, lesbianas, homosexuales, bisexuales y transgénero, ha llevado a procesos de movilización y acciones afirmativas de estas comunidades por la defensa de sus derechos. Estas movilizaciones y acciones que visibilizan a personas con orientación sexual diferente a la general son fundamentales en el desarrollo de la igualdad y del respeto por la diferencia, porque",C,Satisfactorio,3,Movilización por derechos de diversidad sexual,11°,2018,exigen al gobierno proyectos pedagógicos para la salud sexual.,Denuncian la explotación laboral y las condiciones de marginación espacial de estas personas.,promulgan y reivindican los derechos y se denuncia la exclusión.,sensibilizan a la gente sobre la importancia de reconocer la diversidad de creencias religiosas.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Comprende funciones de movilización social,Identifica reivindicación de derechos,Analiza visibilización como estrategia,Las movilizaciones buscan reconocimiento y denuncia de exclusión,Reducir a aspectos específicos sin ver función general,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.7,-1,1.9,-0.9,Movilización_derechos_diversidad,Interpretativa,Lógico_deductivo,Comprender,Social,No Aplica,Explicar,No Aplica,No Aplica,Ciencias Sociales,Movimientos_sociales,Análisis_movilización,Macroscópico,Contemporáneo,Social,Nacional,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Demandas específicas de educación sexual,Denuncias de explotación laboral específica,Sensibilización sobre diversidad religiosa,25,30,20,Diversidad sexual,Movimientos sociales,Derechos humanos,20,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
285,Ciencias Sociales,Pensamiento social,Historia,Comprender,Conceptual,Satisfactorio,Traslado del campo a la ciudad y surgimiento del proletariado,Comprende consecuencias demográficas de la Revolución Industrial,"La Revolución Industrial se debió, entre otras causas, a la invención de la máquina de vapor y la concentración del capital, que permitió adquirir máquinas para producir en masa. Esta revolución produjo cambios en la población, se pasó de la explotación de la tierra a la producción de bienes, del telar familiar a la gran fábrica y de la manufactura a la producción tecnificada. De acuerdo con lo anterior, se puede afirmar que una de las consecuencias de esta revolución, respecto a la población, fue el",A,Satisfactorio,3,Revolución Industrial y cambios demográficos,11°,2018,traslado del campo a la ciudad y el surgimiento del proletariado urbano.,crecimiento de la población rural sobre la urbana.,nacimiento de una élite propietaria de la tierra.,desarrollo de un modelo económico para la protección del proletariado.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Identifica consecuencias demográficas de industrialización,Comprende migración rural-urbana,Relaciona cambios tecnológicos con sociales,Industrialización generó urbanización y proletarización,Confundir causas con consecuencias de industrialización,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.68,-0.9,1.8,-1,Revolución_Industrial,Explicativa,Lógico_deductivo,Comprender,Social,No Aplica,Explicar,No Aplica,No Aplica,Ciencias Sociales,Historia_económica,Análisis_transformaciones,Macroscópico,Siglo_XVIII,Social,Global,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Predominio del crecimiento rural,Fortalecimiento de élites terratenientes,Protección social del proletariado,25,30,20,Revolución Industrial,Historia económica,Transformaciones sociales,20,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
286,Ciencias Sociales,Pensamiento social,Constitución_política_democracia,Comprender,Conceptual,Satisfactorio,Establecer orden jurídico y marco normativo que delimita el poder,Comprende función de la Constitución,"Se dice que una Constitución es la ley de leyes, la fuente de toda la jurisprudencia en un Estado de derecho. Por esta razón, cada una de las normas que se expidan debe ajustarse a los principios y mandatos constitucionales. En consonancia con lo anterior, una Constitución sirve principalmente para",D,Satisfactorio,3,Función de la Constitución en Estado de derecho,11°,2018,impartir justicia y orientar las acciones del Poder Ejecutivo en un Estado social de derecho como el colombiano.,"facilitar la labor de los jueces, al asumir la tarea de impartir justicia, de manera imparcial y oportuna.","garantizar la paz y la prosperidad de las naciones, al expresar los acuerdos y los compromisos de cada ciudadano con la sociedad.",establecer un orden jurídico y un marco normativo que delimita el poder del Estado y establece qué es legal.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Comprende función normativa suprema,Identifica delimitación del poder estatal,Distingue funciones constitucionales,La Constitución es norma suprema que organiza el Estado,Reducir a funciones específicas de ramas del poder,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.71,-1,1.9,-0.9,Función_Constitución,Analítica,Lógico_deductivo,Comprender,Político,No Aplica,Explicar,No Aplica,No Aplica,Ciencias Sociales,Constitución_política,Análisis_funciones,Simbólico,Contemporáneo,Político,Nacional,Primaria_documento,No Aplica,No Aplica,No Aplica,No Aplica,Orientación específica del Ejecutivo,Facilitación específica de la labor judicial,Expresión de compromisos ciudadanos,20,25,30,Estado de derecho,Constitución política,Teoría constitucional,18,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
287,Ciencias Sociales,Interpretación y análisis de perspectivas,Competencias_ciudadanas,Analizar,Conceptual,Satisfactorio,No se reconozca gravedad de actos de violencia contra mujeres,Analiza efectos de minimización de violencia de género,"Un estudio reveló que el 30% de las mujeres en Colombia son víctimas de violencia física. A partir de este estudio varias organizaciones feministas solicitaron el endurecimiento de las penas para las personas que ejercían violencia contra las mujeres. Ante esta petición un funcionario del gobierno señaló que el estudio no era confiable, porque no consideraba los distintos contextos de estas agresiones y que era muy importante tener en cuenta la justificación de los hechos. Según la información presentada, la posición del funcionario podría tener como consecuencia que",C,Satisfactorio,3,Minimización de violencia de género,11°,2018,Se cuestione la idoneidad de los investigadores que realizaron el estudio.,Se generen estrategias más efectivas de prevención de la violencia contra las mujeres.,No se reconozca la gravedad de los actos de violencia en contra de las mujeres.,Las organizaciones feministas retiren sus peticiones.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Identifica efectos de minimización,Comprende naturalización de violencia,Analiza discursos que justifican agresiones,Justificar violencia reduce percepción de gravedad,Confundir cuestionamiento metodológico con minimización,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.72,-1,2,-0.8,Minimización_violencia_género,Crítica,Lógico_deductivo,Analizar,Social,No Aplica,Argumentar,No Aplica,No Aplica,Ciencias Sociales,Sociología_género,Análisis_discursos,Simbólico,Contemporáneo,Social,Nacional,Estadística,No Aplica,No Aplica,No Aplica,No Aplica,Cuestionamiento de competencia investigativa,Estímulo a estrategias preventivas,Retiro de demandas organizacionales,25,20,30,Violencia de género,Derechos de las mujeres,Política pública de género,22,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
288,Ciencias Sociales,Pensamiento reflexivo y sistémico,Competencias_ciudadanas,Analizar,Conceptual,Satisfactorio,Es diferente porque una defiende ecosistema otra quiere ayudar campesinos,Analiza conflictos entre conservación y desarrollo social,"En una región de Colombia, una organización estatal promueve proyectos de agricultura para la reintegración de campesinos desplazados. Con este objetivo, se propone la utilización de unos terrenos que forman parte de un ecosistema de humedal. Una organización ambientalista rechaza esta decisión porque afectará este ecosistema. De lo que busca cada una de las organizaciones mencionadas se puede afirmar que",C,Satisfactorio,3,Conflicto conservación vs reintegración social,11°,2018,"es semejante, porque las dos buscan el aprovechamiento económico del humedal para el bienestar de los campesinos.","es semejante, porque las dos buscan defender a toda costa las riquezas naturales de la región.","es diferente, porque una defiende al ecosistema, aunque esto signifique no poder dar tierras a los campesinos y la otra quiere ayudarlos, aunque se dañe el ecosistema.","es diferente, porque una busca que los campesinos se asienten y trabajen en otra región y la otra busca que se preserve el ecosistema del humedal.",FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Identifica tensión conservación-desarrollo,Comprende dilemas ambientales,Analiza prioridades contrapuestas,Conservación ambiental vs reintegración social genera tensión,Reducir a motivaciones económicas similares,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.69,-0.8,1.8,-1,Conflicto_conservación_desarrollo,Analítica,Sistémico,Analizar,Ambiental,No Aplica,Argumentar,No Aplica,No Aplica,Ciencias Sociales,Gestión_ambiental,Análisis_conflictos,Macroscópico,Contemporáneo,Ambiental,Regional,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Aprovechamiento económico compartido,Defensa compartida de recursos naturales,Relocalización vs preservación,30,25,20,Conflictos ambientales,Desplazamiento forzado,Reintegración vs conservación,22,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
289,Ciencias Sociales,Pensamiento social,Historia,Comprender,Conceptual,Satisfactorio,Producir localmente productos que normalmente se importaban,Comprende política de sustitución de importaciones,"La crisis económica que se desató en 1929, en Estados Unidos, también afectó a los países latinoamericanos al reducirse sus exportaciones y, por consiguiente, sus importaciones. Para contrarrestar el efecto de esta crisis, los estados latinoamericanos adoptaron medidas como la sustitución de importaciones, que consistió en",A,Satisfactorio,3,Sustitución de importaciones en América Latina,11°,2018,producir localmente los bienes que antes se compraban en el exterior.,importar materias primas para producir bienes de consumo interno.,exportar productos manufacturados a los países desarrollados.,diversificar las exportaciones hacia nuevos mercados internacionales.,FALSE,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,20,Comprende estrategia de industrialización,Identifica respuesta a crisis externa,Analiza políticas de desarrollo económico,Sustitución implica producir internamente lo que se importaba,Confundir sustitución con diversificación o exportación,No,Sí,1,No,No Aplica,,No Aplica,No Aplica,Cuadernillo de preguntas saber 11_Ciencias Sociales.pdf,0.67,-0.9,1.7,-1.1,Sustitución_importaciones,Explicativa,Lógico_deductivo,Comprender,Económico,No Aplica,Explicar,No Aplica,No Aplica,Ciencias Sociales,Historia_económica,Análisis_políticas,Simbólico,Siglo_XX,Económico,Regional,Secundaria_académica,No Aplica,No Aplica,No Aplica,No Aplica,Importación de materias primas,Exportación de productos manufacturados,Diversificación de mercados externos,25,30,20,Historia económica,Crisis de 1929,América Latina siglo XX,18,8/12/2025,8/12/2025,1,ICFES_OFICIAL,11/15/2024
