codigo_tema;area_evaluada;tema_principal;canal_sugerido;youtube_url;transcript;tema tag;;;;;;;;;;;;;
SOC021;Sociales y Competencias Ciudadanas;Conflicto armado colombiano;@Recuerda Colombia;https://www.youtube.com/watch?v=GfJq4Kq0fcM;;;;;;;;;;;;;;;
SOC022;Sociales y Competencias Ciudadanas;Civilizaciones antiguas;@Pero eso es otra Historia;https://www.youtube.com/watch?v=9kMhQU_ZIDw;;;;;;;;;;;;;;;
SOC023;Sociales y Competencias Ciudadanas;Grecia antigua;@Pero eso es otra Historia;https://www.youtube.com/watch?v=dN8yoZX_QyM;;;;;;;;;;;;;;;
SOC024;Sociales y Competencias Ciudadanas;Roma antigua;@Pero eso es otra Historia;https://www.youtube.com/watch?v=UtTMIPSc7kE;;;;;;;;;;;;;;;
SOC025;Sociales y Competencias Ciudadanas;Edad Media - Feudalismo;@Daniel Geohistoria;https://www.youtube.com/watch?v=TXgymX_3DUs;;;;;;;;;;;;;;;
SOC026;Sociales y Competencias Ciudadanas;Descubrimiento de America;@HistoriaEn10';https://www.youtube.com/watch?v=P78772SQZEU;;;;;;;;;;;;;;;
SOC027;Sociales y Competencias Ciudadanas;Colonialismo en AmÃ©rica;@Cuaderno de Historia;https://www.youtube.com/watch?v=JKFCVTETfxU;;;;;;;;;;;;;;;
SOC028;Sociales y Competencias Ciudadanas;Independencias latinoamericanas;@Pero eso es otra Historia;https://www.youtube.com/watch?v=tCjXpmeAtDI;;;;;;;;;;;;;;;
SOC029;Sociales y Competencias Ciudadanas;Globalizacion;@ECONOSUBLIME;https://www.youtube.com/watch?v=BxagcplV-LU;;;;;;;;;;;;;;;
SOC030;Sociales y Competencias Ciudadanas;Economia - Conceptos basicos;@Adrià Rivero - Inversión en Bolsa;https://www.youtube.com/watch?v=3oXUOi6lZfw;;;;;;;;;;;;;;;
SOC031;Sociales y Competencias Ciudadanas;Liberalismo y socialismo;@Núcleo Millennial;https://www.youtube.com/watch?v=k5oJ-xUNFXQ;;;;;;;;;;;;;;;
SOC032;Sociales y Competencias Ciudadanas;Geografia de Colombia;@GeoIsis;https://www.youtube.com/watch?v=9xfoXofptrI;;;;;;;;;;;;;;;
SOC033;Sociales y Competencias Ciudadanas;Cartografia basica;@Mundo Aeronáutico;https://www.youtube.com/watch?v=zr_Lc5e7-0M&t=18s;;;;;;;;;;;;;;;
SOC034;Sociales y Competencias Ciudadanas;Resolucion de conflictos;@Supérate con Psicología;https://www.youtube.com/watch?v=xCGAbLga8Ac;;;;;;;;;;;;;;;
SOC035;Sociales y Competencias Ciudadanas;Equidad de genero;@TEDx Talks;https://www.youtube.com/watch?v=yQhxmYfVm1w;;;;;;;;;;;;;;;
SOC036;Sociales y Competencias Ciudadanas;Discriminacion y prejuicios;@Enseñanza y Herramientas Digitales;https://www.youtube.com/watch?v=nlTtRDtD_TI;;;;;;;;;;;;;;;
SOC037;Sociales y Competencias Ciudadanas;Pensamiento cri­tico;@Astraway;https://www.youtube.com/watch?v=xJl0VPrPr38;;;;;;;;;;;;;;;
SOC038;Sociales y Competencias Ciudadanas;Analisis de perspectivas;@Valida tu bachillerato ;https://www.youtube.com/watch?v=a4eHJHlckeQ;;;;;;;;;;;;;;;
SOC039;Sociales y Competencias Ciudadanas;Movimientos sociales Colombia;@M. Alejandra JOYA;https://www.youtube.com/watch?v=44M8-zyhi3M;;;;;;;;;;;;;;;
