codigo_tema,area_evaluada,tema_principal,subtema,tema_especifico,competencia_icfes,componente,afirmacion,evidencia,grado_introduccion,prerequisitos,temas_relacionados,orden_secuencial,nivel_dificultad,importancia_icfes,frecuencia_evaluacion,horas_teoria,horas_practica,numero_ejercicios_recomendados,sesiones_refuerzo,recursos_teoria,recursos_practica,recursos_evaluacion,umbral_dominio,tiempo_retencion,indicadores_dominio,estilo_aprendizaje_optimo,metodologia_recomendada,tipo_evaluacion,estado
MAT024,Matemáticas,Geometría sólida,Cilindros conos y esferas,Sólidos de revolución,Formulación y ejecución,Geometría,Calcula volúmenes de sólidos de revolución,Aplica fórmulas de cilindros conos y esferas,10°,{MAT018;MAT023},{MAT025;MAT030},24,3,3,13.8,4,7,30,3,{sólidos de revolución;fórmulas específicas},{problemas contextualizados;aplicaciones reales},{preguntas de sólidos de revolución},70.0,21,{calcula volúmenes de cilindros y esferas;resuelve problemas aplicados},espacial-aplicativo,aplicativo,selección múltiple,activo
MAT025,Matemáticas,Transformaciones geométricas,Traslaciones y reflexiones,Movimientos en el plano,Interpretación y representación,Geometría,Aplica transformaciones geométricas básicas,Realiza traslaciones reflexiones y rotaciones,8°,{MAT019;MAT024},{MAT026;MAT031},25,2,3,15.9,3,7,40,2,{transformaciones geométricas;isometrías},{ejercicios de transformaciones;aplicaciones},{preguntas de transformaciones},75.0,28,{realiza traslaciones y reflexiones;identifica transformaciones},visual-kinestésico,manipulativo,selección múltiple,activo
MAT026,Matemáticas,Transformaciones geométricas,Homotecias y simetrías,Transformaciones con cambio de escala,Interpretación y representación,Geometría,Aplica homotecias y simetrías,Maneja transformaciones que cambian tamaño,9°,{MAT020;MAT025},{MAT027;MAT032},26,3,2,12.1,3,6,30,2,{homotecias;simetrías centrales},{problemas de escalas;transformaciones compuestas},{preguntas de homotecias},65.0,35,{aplica homotecias correctamente;identifica centros de simetría},transformacional,aplicativo,selección múltiple,activo
MAT027,Matemáticas,Estadística descriptiva,Medidas de tendencia central,Media mediana y moda,Interpretación y representación,Estadística y probabilidad,Calcula e interpreta medidas de tendencia central,Elige la medida más apropiada según el contexto,8°,{MAT021;MAT026},{MAT028;MAT033},27,2,4,20.3,3,7,50,3,{conceptos estadísticos básicos;interpretación de medidas},{cálculo con datos pequeños;interpretación contextual},{preguntas de estadística descriptiva},75.0,28,{calcula media y mediana;interpreta resultados en contexto},cuantitativo-analítico,interpretativo,selección múltiple,activo
MAT028,Matemáticas,Estadística descriptiva,Medidas de dispersión,Rango varianza y desviación estándar,Interpretación y representación,Estadística y probabilidad,Calcula e interpreta medidas de dispersión,Compara variabilidad entre conjuntos de datos,9°,{MAT022;MAT027},{MAT029;MAT034},28,3,3,17.6,4,8,40,3,{medidas de dispersión;interpretación de variabilidad},{cálculo de desviación;comparación de datos},{preguntas de dispersión},70.0,21,{calcula desviación estándar;interpreta variabilidad},estadístico-comparativo,analítico,selección múltiple,activo
MAT029,Matemáticas,Representación de datos,Gráficos estadísticos,Histogramas diagramas de barras y circulares,Interpretación y representación,Estadística y probabilidad,Interpreta y construye gráficos estadísticos,Elige el tipo de gráfico apropiado para los datos,8°,{MAT023;MAT028},{MAT030;MAT035},29,2,4,19.8,3,8,55,2,{tipos de gráficos;interpretación visual},{construcción de gráficos;análisis visual},{preguntas de gráficos estadísticos},80.0,21,{interpreta gráficos correctamente;elige tipo apropiado},visual-estadístico,interpretativo,selección múltiple,activo
MAT030,Matemáticas,Representación de datos,Tablas de frecuencia,Organización y análisis de datos,Interpretación y representación,Estadística y probabilidad,Construye e interpreta tablas de frecuencia,Organiza datos en distribuciones de frecuencia,8°,{MAT024;MAT029},{MAT031;MAT036},30,2,3,18.4,3,7,50,2,{tablas de frecuencia;distribuciones},{organización de datos;análisis frecuencial},{preguntas de tablas de frecuencia},75.0,28,{construye tablas correctamente;interpreta distribuciones},organizacional-analítico,organizativo,selección múltiple,activo
MAT031,Matemáticas,Probabilidad básica,Experimentos aleatorios,Espacio muestral y eventos,Interpretación y representación,Estadística y probabilidad,Identifica experimentos aleatorios y eventos,Define espacios muestrales y eventos simples,9°,{MAT025;MAT030},{MAT032;MAT037},31,3,4,16.7,3,8,45,3,{conceptos de probabilidad;experimentos aleatorios},{identificación de eventos;espacios muestrales},{preguntas de probabilidad básica},75.0,21,{identifica eventos;define espacios muestrales correctamente},probabilístico,conceptual,selección múltiple,activo
MAT032,Matemáticas,Probabilidad básica,Cálculo de probabilidades,Probabilidad clásica y frecuencial,Formulación y ejecución,Estadística y probabilidad,Calcula probabilidades de eventos simples,Aplica la definición clásica de probabilidad,9°,{MAT026;MAT031},{MAT033;MAT038},32,3,4,17.9,4,9,50,3,{cálculo de probabilidades;definición clásica},{problemas de probabilidad;aplicaciones},{preguntas de cálculo de probabilidades},75.0,21,{calcula probabilidades simples;aplica definición clásica},cuantitativo-probabilístico,aplicativo,selección múltiple,activo
MAT033,Matemáticas,Probabilidad básica,Probabilidad condicional,Eventos dependientes e independientes,Argumentación,Estadística y probabilidad,Comprende la probabilidad condicional,Distingue entre eventos independientes y dependientes,10°,{MAT027;MAT032},{MAT034;MAT039},33,4,3,14.2,4,8,35,4,{probabilidad condicional;independencia},{problemas de dependencia;aplicaciones contextuales},{preguntas de probabilidad condicional},65.0,28,{calcula probabilidad condicional;identifica independencia},lógico-probabilístico,analítico,selección múltiple,activo
MAT036,Matemáticas,Inferencia estadística,Muestreo,Poblaciones y muestras,Interpretación y representación,Estadística y probabilidad,Distingue entre población y muestra,Comprende conceptos básicos de muestreo,10°,{MAT030;MAT035},{MAT037;MAT042},36,3,2,12.3,3,5,30,2,{conceptos de muestreo;población vs muestra},{problemas de muestreo;interpretación},{preguntas de muestreo},70.0,35,{distingue población de muestra;comprende representatividad},conceptual-estadístico,conceptual,selección múltiple,activo
MAT038,Matemáticas,Análisis combinatorio,Principios de conteo,Principio de multiplicación y adición,Formulación y ejecución,Estadística y probabilidad,Aplica principios básicos de conteo,Resuelve problemas usando principios multiplicativo y aditivo,10°,{MAT032;MAT037},{MAT039;MAT044},38,3,3,15.1,3,8,40,3,{principios de conteo;técnicas combinatorias},{problemas de conteo;aplicaciones},{preguntas de principios de conteo},70.0,21,{aplica principio multiplicativo;resuelve problemas de conteo},combinatorio,aplicativo,selección múltiple,activo
MAT039,Matemáticas,Análisis combinatorio,Permutaciones y combinaciones,Arreglos con y sin orden,Formulación y ejecución,Estadística y probabilidad,Calcula permutaciones y combinaciones,Distingue entre arreglos con orden y sin orden,10°,{MAT033;MAT038},{MAT040;MAT045},39,3,3,14.6,4,8,35,3,{permutaciones y combinaciones;fórmulas},{problemas de arreglos;aplicaciones contextuales},{preguntas de permutaciones y combinaciones},65.0,28,{calcula permutaciones y combinaciones;distingue cuándo usar cada una},combinatorio-aplicativo,aplicativo,selección múltiple,activo
MAT042,Matemáticas,Sucesiones y series,Sucesiones aritméticas,Progresiones aritméticas,Interpretación y representación,Álgebra y cálculo,Analiza sucesiones aritméticas,Encuentra términos y sumas de progresiones aritméticas,9°,{MAT036;MAT041},{MAT043;MAT048},42,3,2,13.4,3,7,35,2,{sucesiones aritméticas;fórmulas},{problemas de progresiones;aplicaciones},{preguntas de sucesiones aritméticas},70.0,28,{encuentra término general;calcula sumas parciales},secuencial-algebraico,aplicativo,selección múltiple,activo
MAT043,Matemáticas,Sucesiones y series,Sucesiones geométricas,Progresiones geométricas,Interpretación y representación,Álgebra y cálculo,Analiza sucesiones geométricas,Encuentra términos y sumas de progresiones geométricas,10°,{MAT037;MAT042},{MAT044;MAT049},43,3,2,12.7,4,7,30,3,{sucesiones geométricas;razón común},{problemas de crecimiento;aplicaciones},{preguntas de sucesiones geométricas},65.0,21,{encuentra término general geométrico;calcula sumas infinitas},exponencial-algebraico,aplicativo,selección múltiple,activo
MAT048,Matemáticas,Optimización,Máximos y mínimos,Problemas de optimización básicos,Formulación y ejecución,Álgebra y cálculo,Resuelve problemas básicos de optimización,Encuentra máximos y mínimos en funciones cuadráticas,10°,{MAT042;MAT047},{MAT049;MAT054},48,3,2,11.6,4,8,25,4,{problemas de optimización;máximos y mínimos},{aplicaciones de optimización;problemas contextuales},{preguntas de optimización},60.0,28,{encuentra máximos en parábolas;resuelve problemas de optimización},optimizador,aplicativo,selección múltiple,activo
MAT050,Matemáticas,Lógica matemática,Proposiciones,Conectivos lógicos básicos,Argumentación,Álgebra y cálculo,Analiza proposiciones lógicas,Utiliza conectivos y construye tablas de verdad,10°,{MAT044;MAT049},{MAT051;MAT056},50,3,2,10.8,3,6,30,2,{lógica proposicional;tablas de verdad},{ejercicios de lógica;aplicaciones},{preguntas de lógica},65.0,35,{construye tablas de verdad;identifica tautologías},lógico-formal,lógico,selección múltiple,activo
MAT052,Matemáticas,Teoría de conjuntos,Operaciones entre conjuntos,Unión intersección y complemento,Interpretación y representación,Álgebra y cálculo,Realiza operaciones entre conjuntos,Utiliza diagramas de Venn para representar operaciones,8°,{MAT046;MAT051},{MAT053;MAT058},52,2,3,16.5,2,6,45,2,{teoría de conjuntos;diagramas de Venn},{problemas de conjuntos;aplicaciones},{preguntas de operaciones de conjuntos},75.0,21,{realiza uniones e intersecciones;interpreta diagramas de Venn},visual-conjuntista,representacional,selección múltiple,activo
MAT064,Matemáticas,Modelación matemática,Modelos lineales,Ajuste de rectas a datos,Formulación y ejecución,Estadística y probabilidad,Ajusta modelos lineales a datos,Interpreta parámetros en modelos lineales,10°,{MAT058;MAT063},{MAT065;MAT070},64,3,2,12.1,3,7,25,3,{regresión lineal;modelos},{ajuste de datos;interpretación},{preguntas de modelación lineal},60.0,21,{ajusta recta a datos;interpreta pendiente e intercepto},modelístico-estadístico,aplicativo,selección múltiple,activo
MAT065,Matemáticas,Modelación matemática,Modelos exponenciales,Crecimiento y decaimiento,Formulación y ejecución,Estadística y probabilidad,Modela situaciones con funciones exponenciales,Ajusta modelos exponenciales a datos reales,10°,{MAT059;MAT064},{MAT066;MAT071},65,3,2,10.9,4,7,20,3,{modelos exponenciales;crecimiento},{problemas de crecimiento poblacional;aplicaciones},{preguntas de modelos exponenciales},55.0,28,{modela crecimiento exponencial;interpreta parámetros del modelo},modelístico-exponencial,aplicativo,selección múltiple,activo
MAT067,Matemáticas,Matemática financiera,Interés simple y compuesto,Cálculos financieros básicos,Formulación y ejecución,Álgebra y cálculo,Calcula interés simple y compuesto,Resuelve problemas de matemática financiera,9°,{MAT061;MAT066},{MAT068;MAT073},67,3,3,14.3,3,8,35,2,{matemática financiera;interés},{problemas financieros;aplicaciones},{preguntas de interés},70.0,21,{calcula interés compuesto;resuelve problemas de inversión},financiero-aplicativo,aplicativo,selección múltiple,activo
MAT068,Matemáticas,Matemática financiera,Anualidades y amortización,Pagos periódicos y préstamos,Formulación y ejecución,Álgebra y cálculo,Calcula anualidades y amortizaciones,Resuelve problemas de préstamos y pagos,10°,{MAT062;MAT067},{MAT069;MAT074},68,3,2,11.6,4,7,25,3,{anualidades;amortización},{problemas de préstamos;aplicaciones financieras},{preguntas de anualidades},60.0,28,{calcula cuotas de préstamos;entiende amortización},financiero-complejo,aplicativo,selección múltiple,activo
MAT087,Matemáticas,Aplicación ICFES,Simulacros completos,Práctica integral de matemáticas,Formulación y ejecución,Aplicación ICFES,Resuelve pruebas ICFES de matemáticas,Aplica todas las competencias en formato oficial,11°,{MAT081;MAT082;MAT083;MAT084;MAT085;MAT086},{},87,4,5,30.4,1,20,150,5,{simulacros ICFES;estrategias de examen},{pruebas oficiales;práctica cronometrada},{simulacros completos ICFES},85.0,7,{resuelve 42/50 preguntas correctamente;maneja tiempo de examen},estratégico-aplicativo,aplicativo,simulacro oficial,activo
CN001,Ciencias Naturales,Estructura celular,Célula procariota y eucariota,Diferencias estructurales fundamentales,Indagación,Entorno vivo,Compara estructuras celulares básicas,Identifica organelos y sus funciones principales,7°,{},{CN002;CN003},1,2,5,22.8,4,6,40,3,{videos de microscopía;diagramas celulares interactivos},{observación microscópica virtual;ejercicios de identificación},{preguntas de estructura celular},80.0,21,{identifica organelos principales;explica diferencias proc/euc},visual-kinestésico,observacional,selección múltiple,activo
CN002,Ciencias Naturales,Procesos vitales,Respiración celular,Obtención de energía en las células,Explicación de fenómenos,Entorno vivo,Explica el proceso de respiración celular,Relaciona respiración con obtención de energía,8°,{CN001},{CN004;CN008},2,3,5,19.4,5,8,35,4,{simulaciones de respiración celular;diagramas de proceso},{experimentos virtuales;análisis de ecuaciones químicas},{preguntas de procesos metabólicos},75.0,28,{explica respiración aerobia/anaerobia;relaciona con producción ATP},analítico-causal,explicativo,selección múltiple,activo
CN003,Ciencias Naturales,Genética básica,Leyes de Mendel,Herencia de características simples,Uso comprensivo del conocimiento científico,Entorno vivo,Aplica las leyes de Mendel en cruces simples,Predice proporciones fenotípicas en descendencia,9°,{CN001;CN002},{CN005;CN009},3,3,4,18.2,4,9,45,4,{principios de herencia;cuadros de Punnett},{cruces genéticos simulados;problemas de herencia},{preguntas de genética mendeliana},80.0,35,{resuelve cruces monohíbridos;interpreta proporciones genotípicas},lógico-matemático,aplicativo,selección múltiple,activo
CN004,Ciencias Naturales,Procesos vitales,Fotosíntesis,Producción de glucosa y oxígeno,Explicación de fenómenos,Entorno vivo,Explica el proceso de fotosíntesis,Relaciona fotosíntesis con flujo de energía,8°,{CN002},{CN006;CN010},4,3,5,20.1,5,8,40,4,{fases de la fotosíntesis;ecuación química},{experimentos de fotosíntesis;análisis de factores},{preguntas de fotosíntesis},75.0,28,{explica fase luminosa y oscura;relaciona con cadena alimentaria},procesual-energético,explicativo,selección múltiple,activo
CN044,Ciencias Naturales,Biología ecosistémica,Ciclos biogeoquímicos,Ciclo del carbono nitrógeno y agua,Uso comprensivo del conocimiento,Entorno vivo,Explica ciclos biogeoquímicos básicos,Relaciona ciclos con equilibrio ecosistémico,9°,{CN043},{CN045;CN046},44,3,4,16.8,4,7,45,3,{diagramas de ciclos;animaciones},{análisis de flujos;impacto humano},{preguntas tipo ICFES ciclos},70.0,28,{explica 3/4 ciclos;identifica alteraciones humanas},sistémico,cíclico,selección múltiple,activo
CN045,Ciencias Naturales,Química básica,Mezclas y métodos de separación,Filtración decantación destilación,Uso comprensivo del conocimiento,Entorno físico,Identifica métodos de separación,Selecciona método según tipo de mezcla,8°,{CN044},{CN047;CN048},45,2,4,18.5,3,6,50,2,{tipos de mezclas;métodos de separación},{laboratorio virtual;ejercicios de selección},{preguntas tipo ICFES mezclas},75.0,21,{selecciona método correcto 8/10 veces;justifica elección},experimental,aplicativo,selección múltiple,activo
CN046,Ciencias Naturales,Química básica,Nomenclatura química,Óxidos ácidos bases y sales,Uso comprensivo del conocimiento,Entorno físico,Nombra compuestos inorgánicos básicos,Usa nomenclatura tradicional y Stock,10°,{CN045},{CN049;CN050},46,3,3,14.2,4,7,40,3,{reglas de nomenclatura;tabla de valencias},{ejercicios de nomenclatura;formulación},{preguntas tipo ICFES nomenclatura},65.0,35,{nombra 15/20 compuestos;formula correctamente},memorístico,sistemático,selección múltiple,activo
CN047,Ciencias Naturales,Física básica,Energía mecánica,Energía cinética y potencial,Explicación de fenómenos,Entorno físico,Calcula energías cinética y potencial,Aplica conservación de energía mecánica,9°,{CN046},{CN051;CN052},47,3,4,17.9,4,8,55,3,{tipos de energía;conservación},{problemas de energía;montaña rusa},{preguntas tipo ICFES energía},70.0,28,{calcula energías correctamente;aplica conservación},cuantitativo,resolutivo,selección múltiple,activo
CN048,Ciencias Naturales,Física básica,Movimiento uniforme,Velocidad constante y MRU,Indagación,Entorno físico,Analiza movimiento rectilíneo uniforme,Interpreta gráficas posición-tiempo,8°,{CN047},{CN053;CN054},48,2,4,19.2,3,7,60,3,{cinemática básica;gráficas},{simuladores de movimiento;análisis gráfico},{preguntas tipo ICFES movimiento},75.0,21,{calcula velocidad;interpreta gráficas x-t},gráfico-visual,interpretativo,selección múltiple,activo
CN049,Ciencias Naturales,Física básica,Presión,Presión en fluidos y principio de Pascal,Explicación de fenómenos,Entorno físico,Comprende concepto de presión,Aplica principio de Pascal y Arquímedes,9°,{CN048},{CN055;CN056},49,3,3,15.6,4,6,45,3,{presión hidrostática;principios},{problemas de flotación;prensa hidráulica},{preguntas tipo ICFES fluidos},65.0,28,{calcula presión;explica flotación},conceptual-aplicativo,fenomenológico,selección múltiple,activo
CN050,Ciencias Naturales,Biología humana,Sistema nervioso,Neurona y transmisión nerviosa,Uso comprensivo del conocimiento,Entorno vivo,Explica transmisión del impulso nervioso,Relaciona estructura neuronal con función,10°,{CN049},{CN057;CN058},50,3,4,16.3,4,7,40,3,{estructura neuronal;sinapsis},{animaciones de transmisión;reflejos},{preguntas tipo ICFES nervioso},70.0,35,{explica sinapsis;describe arco reflejo},funcional,procesual,selección múltiple,activo
CN051,Ciencias Naturales,Biología humana,Sistema endocrino,Hormonas y regulación,Explicación de fenómenos,Entorno vivo,Identifica glándulas y hormonas principales,Explica regulación hormonal básica,10°,{CN050},{CN059;CN060},51,3,3,14.7,4,6,35,3,{sistema endocrino;hormonas principales},{casos de desbalance;retroalimentación},{preguntas tipo ICFES endocrino},65.0,28,{identifica 8/10 hormonas;explica retroalimentación},regulatorio,sistémico,selección múltiple,activo
CN052,Ciencias Naturales,Ecología aplicada,Problemas ambientales locales,Contaminación y manejo de residuos,Indagación,CTS,Analiza problemas ambientales locales,Propone soluciones de manejo ambiental,9°,{CN051},{CN061;CN062},52,3,4,17.4,3,7,50,3,{problemáticas locales;reciclaje},{estudios de caso;proyectos ambientales},{preguntas tipo ICFES CTS},70.0,21,{identifica problemas;propone 3/5 soluciones},ambiental,proyectivo,selección múltiple,activo
CN053,Ciencias Naturales,Química ambiental,Lluvia ácida,Causas y efectos de la acidificación,Explicación de fenómenos,CTS,Explica formación de lluvia ácida,Relaciona emisiones con acidificación,10°,{CN052},{CN063;CN064},53,3,3,13.8,4,6,35,3,{química atmosférica;pH},{efectos ambientales;casos reales},{preguntas tipo ICFES ambiental},65.0,35,{explica reacciones;identifica consecuencias},químico-ambiental,causal,selección múltiple,activo
CN054,Ciencias Naturales,Física cotidiana,Electricidad doméstica,Circuitos y consumo eléctrico,Uso comprensivo del conocimiento,Entorno físico,Analiza circuitos domésticos simples,Calcula consumo y costo eléctrico,9°,{CN053},{CN065;CN066},54,3,4,16.9,3,7,45,3,{circuitos serie-paralelo;potencia},{cálculo de consumo;seguridad eléctrica},{preguntas tipo ICFES electricidad},70.0,28,{analiza circuitos básicos;calcula consumo en kWh},práctico,aplicativo,selección múltiple,activo
CN055,Ciencias Naturales,Ondas cotidianas,Sonido,Características del sonido y aplicaciones,Explicación de fenómenos,Entorno físico,Identifica propiedades del sonido,Relaciona frecuencia con tono,9°,{CN054},{CN067;CN068},55,3,3,15.3,3,6,40,2,{ondas sonoras;propiedades},{instrumentos musicales;eco},{preguntas tipo ICFES sonido},70.0,21,{identifica propiedades;explica eco y resonancia},auditivo,fenomenológico,selección múltiple,activo
CN056,Ciencias Naturales,Óptica básica,Luz y color,Reflexión refracción y dispersión,Explicación de fenómenos,Entorno físico,Explica fenómenos luminosos básicos,Relaciona con formación de arcoíris y espejos,9°,{CN055},{CN069;CN070},56,3,3,14.8,3,6,40,2,{óptica básica;formación de imágenes},{experimentos con luz;prismas},{preguntas tipo ICFES luz},70.0,28,{explica reflexión y refracción;forma imágenes en espejos},visual,experimental,selección múltiple,activo
CN057,Ciencias Naturales,Genética humana,Grupos sanguíneos,Sistema ABO y factor Rh,Uso comprensivo del conocimiento,Entorno vivo,Determina compatibilidad sanguínea,Resuelve problemas de herencia de grupos sanguíneos,10°,{CN056},{CN071;CN072},57,3,3,13.5,4,6,35,3,{sistema ABO-Rh;compatibilidad},{transfusiones;problemas de herencia},{preguntas tipo ICFES sangre},65.0,35,{determina compatibilidad;predice herencia},genético-aplicado,resolutivo,selección múltiple,activo
CN058,Ciencias Naturales,Reproducción humana,Ciclo menstrual,Fases y regulación hormonal,Explicación de fenómenos,Entorno vivo,Describe fases del ciclo menstrual,Relaciona hormonas con cambios fisiológicos,10°,{CN057},{CN073},58,3,3,12.7,4,5,30,3,{ciclo menstrual;hormonas reproductivas},{gráficas hormonales;fertilidad},{preguntas tipo ICFES reproducción},60.0,28,{identifica fases;relaciona con hormonas},fisiológico,secuencial,selección múltiple,activo
CN059,Ciencias Naturales,Aplicación ICFES,Simulacros completos,Práctica integral ciencias naturales,Indagación,Aplicación integral,Resuelve pruebas tipo ICFES ciencias,Aplica competencias en formato oficial,11°,{CN058},{},59,4,5,28.5,2,15,100,5,{simulacros ICFES;estrategias},{pruebas cronometradas;análisis},{simulacros oficiales},75.0,14,{responde 48/58 correctamente;maneja tiempo},estratégico,integral,simulacro oficial,activo
ING001,Inglés,Gramática A1,Verbo to be,Formas afirmativas negativas e interrogativas,Competencia lingüística,Gramática básica,Identifica formas del verbo to be,Usa correctamente am is are en contextos simples,6°,{},{ING002;ING003},1,1,5,22.5,3,5,60,2,{videos básicos de gramática;tablas de conjugación},{ejercicios de completar;diálogos simples},{preguntas tipo ICFES parte 4},80.0,21,{completa 8/10 oraciones correctamente;forma preguntas básicas},visual-auditivo,repetitivo,selección múltiple,activo
ING002,Inglés,Gramática A1,Presente simple,Rutinas y actividades diarias,Competencia lingüística,Gramática básica,Construye oraciones en presente simple,Describe rutinas usando tercera persona correctamente,7°,{ING001},{ING004;ING005},2,1,5,20.3,4,6,70,3,{reglas del presente simple;verbos comunes},{ejercicios de rutinas;descripciones diarias},{preguntas tipo ICFES parte 4},75.0,28,{usa -s en tercera persona;forma negativas con don't/doesn't},visual-kinestésico,comunicativo,selección múltiple,activo
ING003,Inglés,Vocabulario A1,Familia y amigos,Relaciones familiares básicas,Competencia lexical,Vocabulario básico,Identifica vocabulario de familia,Reconoce mother father sister brother etc,6°,{ING001},{ING006;ING007},3,1,4,18.7,2,4,50,2,{flashcards de familia;árboles genealógicos},{ejercicios de relaciones;descripciones familiares},{preguntas tipo ICFES parte 2},85.0,14,{identifica 15/20 palabras de familia;describe su familia},visual,asociativo,selección múltiple,activo
ING004,Inglés,Gramática A2,Presente continuo,Acciones en progreso,Competencia lingüística,Gramática intermedia,Forma el presente continuo correctamente,Usa -ing y verbo to be para acciones actuales,8°,{ING002},{ING008;ING009},4,2,5,19.8,4,7,65,3,{estructura del presente continuo;usos específicos},{ejercicios de acciones actuales;descripciones de imágenes},{preguntas tipo ICFES parte 4},75.0,21,{forma gerundios correctamente;distingue de presente simple},auditivo-visual,comparativo,selección múltiple,activo
ING005,Inglés,Vocabulario A2,Lugares y direcciones,Vocabulario de ciudad y ubicación,Competencia lexical,Vocabulario funcional,Identifica lugares comunes de la ciudad,Reconoce bank hospital school street etc,7°,{ING003},{ING010;ING011},5,2,4,17.5,3,5,55,2,{mapas ilustrados;vocabulario de lugares},{ejercicios de direcciones;diálogos de ubicación},{preguntas tipo ICFES parte 1},80.0,21,{identifica 20/25 lugares;da direcciones simples},visual-espacial,contextual,selección múltiple,activo
ING006,Inglés,Gramática A2,Pasado simple,Verbos regulares e irregulares,Competencia lingüística,Gramática intermedia,Usa el pasado simple correctamente,Forma pasado de verbos regulares e irregulares comunes,8°,{ING004},{ING012;ING013},6,2,5,21.2,5,8,75,4,{lista de verbos irregulares;reglas del -ed},{ejercicios de narración;historias en pasado},{preguntas tipo ICFES parte 4},70.0,35,{conjuga 30/40 verbos irregulares;narra eventos pasados},memorístico,repetitivo,selección múltiple,activo
ING007,Inglés,Comprensión A2,Textos descriptivos,Comprensión de descripciones simples,Competencia pragmática,Lectura literal,Comprende información explícita en textos,Identifica detalles específicos en descripciones,8°,{ING005},{ING014;ING015},7,2,4,16.9,3,6,50,3,{textos descriptivos simples;estrategias de lectura},{ejercicios de comprensión;preguntas directas},{preguntas tipo ICFES parte 5},75.0,28,{responde 7/10 preguntas literales;identifica información específica},lector-visual,scanning,selección múltiple,activo
ING008,Inglés,Gramática B1,Presente perfecto,Experiencias y acciones completadas,Competencia lingüística,Gramática avanzada,Forma y usa el presente perfecto,Usa have/has + participio correctamente,9°,{ING006},{ING016;ING017},8,3,5,18.6,5,9,70,4,{estructura del presente perfecto;participios},{ejercicios de experiencias;diferencia con pasado simple},{preguntas tipo ICFES parte 7},65.0,35,{forma participios correctamente;usa for/since},analítico,contrastivo,selección múltiple,activo
ING009,Inglés,Vocabulario B1,Trabajo y profesiones,Vocabulario laboral y ocupacional,Competencia lexical,Vocabulario especializado,Identifica vocabulario de profesiones,Reconoce y usa términos laborales comunes,9°,{ING007},{ING018;ING019},9,3,4,15.4,4,6,45,3,{vocabulario de profesiones;descripción de trabajos},{ejercicios de roles laborales;entrevistas},{preguntas tipo ICFES parte 7},70.0,28,{identifica 25/30 profesiones;describe responsabilidades laborales},contextual,role-play,selección múltiple,activo
ING010,Inglés,Comprensión B1,Textos argumentativos,Comprensión de opiniones y argumentos,Competencia pragmática,Lectura inferencial,Infiere información implícita,Identifica opiniones y puntos de vista en textos,10°,{ING008},{ING020;ING021},10,3,5,17.8,4,7,55,4,{textos de opinión;marcadores de argumento},{análisis de argumentos;identificación de posturas},{preguntas tipo ICFES parte 6},65.0,35,{identifica 6/10 inferencias;reconoce opiniones del autor},crítico-analítico,inferencial,selección múltiple,activo
ING011,Inglés,Gramática B1,Condicionales,Primer y segundo condicional,Competencia lingüística,Gramática avanzada,Construye oraciones condicionales,Usa if + will y if + would correctamente,10°,{ING009},{ING022;ING023},11,3,4,14.3,5,8,60,4,{tipos de condicionales;usos específicos},{ejercicios de situaciones hipotéticas;consecuencias},{preguntas tipo ICFES parte 7},60.0,42,{forma condicionales tipo 1 y 2;distingue situaciones reales/irreales},lógico,situacional,selección múltiple,activo
ING012,Inglés,Funciones comunicativas,Invitaciones y sugerencias,Expresiones para invitar y sugerir,Competencia pragmática,Funciones sociales,Identifica funciones comunicativas,Reconoce Would you like Let's How about,8°,{ING010},{ING024;ING025},12,2,4,16.7,3,5,50,2,{expresiones sociales;contextos de uso},{diálogos sociales;situaciones cotidianas},{preguntas tipo ICFES parte 3},75.0,21,{identifica función en 8/10 contextos;usa expresiones apropiadas},comunicativo,funcional,selección múltiple,activo
ING013,Inglés,Vocabulario contextual,Conectores lógicos,Palabras de enlace y cohesión,Competencia lingüística,Cohesión textual,Identifica conectores apropiados,Usa however therefore although because,9°,{ING011},{ING026;ING027},13,3,5,18.9,4,7,55,3,{lista de conectores;funciones específicas},{ejercicios de cohesión;completar textos},{preguntas tipo ICFES parte 7},70.0,28,{selecciona conector correcto 7/10 veces;mejora cohesión textual},textual,gap-filling,selección múltiple,activo
ING014,Inglés,Comprensión global,Ideas principales,Identificación del tema central,Competencia pragmática,Comprensión global,Identifica la idea principal del texto,Reconoce el mensaje central en párrafos,9°,{ING012},{ING028;ING029},14,2,4,17.2,3,6,45,3,{estrategias de skimming;identificación de temas},{ejercicios de síntesis;resúmenes},{preguntas tipo ICFES parte 6},75.0,21,{identifica tema en 8/10 textos;resume ideas principales},holístico,skimming,selección múltiple,activo
ING015,Inglés,Aplicación ICFES,Simulacros completos,Práctica integral de inglés,Competencia comunicativa,Aplicación integral,Resuelve pruebas tipo ICFES inglés,Aplica todas las competencias en formato oficial,11°,{ING013;ING014},{},15,3,5,25.6,2,10,80,4,{simulacros ICFES;estrategias de examen},{pruebas cronometradas;análisis de errores},{simulacros oficiales ICFES},75.0,14,{completa 45/55 preguntas correctamente;maneja tiempo},estratégico,intensivo,simulacro oficial,activo
